restaurant_id,month,order_volume,cancellations,avg_rating,gross_revenue_inr,support_tickets
R031,12,139,14,3.8,42225,4.0
R031,13,125,10,3.8,35005,4.5
R031,14,157,12,3.5,49648,4.7
R031,15,114,11,3.5,33597,4.7
R031,16,136,6,3.5,44396,5.9
R031,17,119,11,3.5,33611,4.5
R031,18,134,13,3.6,38824,5.7
R032,3,76,0,4.1,22182,3.7
R032,4,70,0,3.6,18991,5.2
R032,5,87,0,3.9,23346,3.0
R032,6,85,0,3.8,23854,3.5
R032,7,83,0,3.8,25292,5.1
R032,8,68,0,4.2,21785,4.6
R032,9,74,0,3.7,19809,4.4
R032,10,76,0,4.0,25000,5.2
R032,11,88,1,4.0,25491,4.9
R032,12,71,0,3.9,19836,3.7
R032,13,87,0,3.8,22539,4.9
R032,14,82,0,3.8,22739,5.6
R032,15,72,0,4.0,18196,5.4
R032,16,87,0,3.6,24669,4.1
R032,17,74,0,4.1,16501,4.4
R032,18,81,0,3.8,23111,3.4
R033,5,156,21,4.0,39582,4.2
R033,6,147,16,4.0,40814,4.7
R033,7,139,19,4.2,29691,6.8
R033,8,163,24,4.3,43718,4.9
R033,9,176,23,4.2,48183,4.0
R033,10,169,20,4.0,41835,5.1
R033,11,180,17,3.7,35492,6.0
R033,12,144,18,4.0,32079,5.8
R033,13,154,18,4.0,40357,4.1
R033,14,170,27,3.7,42711,4.7
R033,15,167,16,4.3,34257,4.8
R033,16,163,18,3.8,40729,5.1
R033,17,157,23,3.9,39603,4.5
R033,18,143,17,3.9,33386,6.0
R034,6,166,8,3.8,67079,1.5
R034,7,165,9,3.8,70775,2.7
R034,8,191,11,4.1,72866,1.9
R034,9,180,13,3.6,70568,2.1
R034,10,173,10,4.0,68437,3.8
R034,11,165,11,3.8,77402,1.3
R034,12,151,11,3.7,56343,1.8
R034,13,190,8,3.8,73967,3.5
R034,14,161,10,3.6,79029,2.4
R034,15,171,13,3.7,79789,2.2
R034,16,182,9,3.6,75804,3.2
R034,17,148,8,4.0,62740,2.2
R034,18,160,12,3.5,63609,1.3
R035,5,233,2,4.7,35145,3.2
R035,6,242,2,4.6,38316,3.0
R035,7,181,1,4.2,28744,3.4
R035,8,273,2,4.1,40204,11.1
R035,9,216,3,3.8,37375,9.4
R035,10,214,2,3.9,36551,9.1
R035,11,50,4,3.6,8231,3.8
R035,12,53,4,3.8,9487,6.2
R035,13,61,3,3.7,11022,3.9
R035,14,24,1,3.1,3338,4.4
R035,15,12,0,3.3,1827,5.0
R035,16,9,0,3.3,1650,5.5
R035,17,5,0,3.0,856,4.8
R035,18,4,0,3.0,683,7.2
R036,4,293,23,4.3,40135,2.4
R036,5,369,37,4.2,48550,3.7
R036,6,327,17,4.6,40739,3.5
R036,7,312,36,4.2,48909,3.9
R036,8,281,24,4.2,33890,3.8
R036,9,311,29,4.2,39330,4.2
R036,10,291,11,4.2,37183,3.8
R036,11,373,43,4.2,46286,4.0
R036,12,299,27,4.1,41460,2.8
R036,13,347,26,4.3,41002,4.2
R036,14,280,25,4.4,37118,2.6
R036,15,326,23,4.1,45269,4.7
R036,16,311,26,4.3,42281,4.1
R036,17,344,27,3.6,42727,4.6
R036,18,309,24,4.4,41375,1.6
R037,7,38,1,3.8,8383,1.9
R037,8,43,1,3.7,6714,2.3
R037,9,44,1,4.2,10028,1.9
R037,10,35,1,3.9,6160,1.9
R037,11,52,1,3.9,9083,2.5
R037,12,43,1,4.0,7131,2.9
R037,13,43,1,3.7,8999,1.8
R037,14,50,1,3.6,10285,2.4
R037,15,37,1,4.0,8039,2.3
R037,16,45,1,4.1,7964,2.2
R037,17,41,1,3.8,9161,2.4
R037,18,41,1,3.9,7773,3.9
R038,10,90,6,4.2,24225,5.7
R038,11,86,9,4.1,22519,6.3
R038,12,92,6,4.0,24818,5.5
R038,13,101,6,4.0,22587,5.1
R038,14,73,5,4.0,19192,5.7
R038,15,111,12,4.3,27446,5.3
R038,16,107,5,4.0,27053,6.2
R038,17,105,6,4.0,28405,5.0
R038,18,110,9,4.1,29603,5.3
R039,15,106,3,4.3,33252,3.0
R039,16,122,4,4.1,38471,2.5
R039,17,94,3,4.1,28172,2.5
R039,18,127,4,4.1,40530,2.2
R040,5,282,23,3.8,59077,0.5
R040,6,303,22,3.7,71882,1.2
R040,7,268,21,4.1,59106,0.0
R040,8,343,31,4.1,81865,0.1
R040,9,300,27,4.0,61213,0.3
R040,10,351,32,3.9,73887,0.0
R040,11,296,23,3.9,82773,0.8
R040,12,361,30,3.8,80831,0.0
R040,13,336,28,3.9,75115,0.0
R040,14,284,27,4.3,73233,0.0
R040,15,355,33,3.8,85735,0.0
R040,16,380,31,3.7,93355,1.0
R040,17,336,28,3.9,68588,0.0
R040,18,347,26,4.0,76763,0.0
R041,11,136,1,4.6,41596,2.2
R041,12,116,0,4.6,36363,0.9
R041,13,114,1,4.3,29986,3.8
R041,14,151,1,4.5,37838,2.9
R041,15,129,1,4.9,36059,2.5
R041,16,163,1,4.6,44168,2.0
R041,17,95,1,5.0,22040,2.8
R041,18,117,1,4.7,28021,1.9
R042,12,72,0,4.0,17265,6.3
R042,13,77,0,3.8,19600,4.7
R042,14,79,0,3.8,19636,5.6
R042,15,84,0,3.7,21183,3.8
R042,16,77,0,3.5,15577,6.1
R042,17,79,0,3.9,21485,5.7
R042,18,77,0,4.0,18163,5.2
R043,9,121,2,4.5,39665,2.7
R043,10,137,3,4.3,42864,3.0
R043,11,124,2,4.2,27286,3.9
R043,12,135,3,4.4,35508,4.2
R043,13,126,2,4.5,32922,2.4
R043,14,119,2,4.1,32816,3.7
R043,15,128,3,4.2,34611,3.1
R043,16,104,2,4.5,32766,4.1
R043,17,144,4,4.6,47194,1.9
R043,18,127,3,4.2,36227,3.5
R044,1,130,10,4.0,51645,6.4
R044,2,137,12,3.6,50779,5.7
R044,3,123,8,3.9,48611,6.5
R044,4,132,10,3.7,55136,6.9
R044,5,147,14,3.8,61972,5.9
R044,6,126,10,3.6,60657,5.5
R044,7,150,12,3.6,47411,6.5
R044,8,162,11,3.5,61149,5.0
R044,9,131,11,3.8,46870,6.3
R044,10,150,11,3.8,61568,6.2
R044,11,141,14,3.9,52531,5.4
R044,12,133,12,3.7,49685,6.8
R044,13,143,14,3.9,49226,5.7
R044,14,154,9,3.9,59847,4.2
R044,15,142,9,3.6,55451,4.1
R044,16,131,15,3.9,46604,7.1
R044,17,127,9,3.6,50817,7.0
R044,18,126,6,4.0,56797,4.0
R045,13,83,1,4.2,14113,5.9
R045,14,81,1,4.2,14722,2.8
R045,15,78,1,4.1,13066,5.4
R045,16,84,0,4.2,17036,4.9
R045,17,88,1,4.0,19527,5.1
R045,18,91,1,4.3,19348,4.6
R046,10,71,0,4.6,20987,4.3
R046,11,60,0,4.4,12836,3.6
R046,12,86,0,4.4,26785,4.0
R046,13,97,1,4.6,25906,11.3
R046,14,100,1,4.3,26939,12.6
R046,15,83,0,4.3,28283,14.1
R046,16,41,3,4.1,12482,7.1
R046,17,31,2,3.9,8470,6.0
R046,18,11,0,3.8,3454,5.8
R047,5,124,7,3.8,23608,3.1
R047,6,138,15,3.8,26277,2.5
R047,7,136,10,4.0,25645,3.7
R047,8,155,9,4.3,29268,3.3
R047,9,144,15,3.7,27806,0.9
R047,10,160,11,3.9,33072,3.5
R047,11,168,18,3.8,32405,1.2
R047,12,139,15,3.8,20572,4.6
R047,13,158,16,3.7,29572,3.0
R047,14,137,11,3.6,24069,3.7
R047,15,138,16,3.6,24462,2.2
R047,16,147,16,3.7,25546,3.4
R047,17,151,14,3.7,27285,3.8
R047,18,125,9,3.6,23971,3.9
R048,13,110,0,3.6,26416,2.4
R048,14,123,1,3.9,29512,2.0
R048,15,109,1,4.0,26297,1.6
R048,16,124,1,3.8,30613,2.6
R048,17,107,1,3.2,29492,1.9
R048,18,117,1,4.0,29530,2.0
R049,4,93,4,3.7,20655,4.8
R049,5,103,5,4.1,23611,2.9
R049,6,96,5,4.2,18568,4.4
R049,7,122,5,4.1,33082,4.8
R049,8,105,5,4.4,25995,5.1
R049,9,105,5,4.2,22214,5.7
R049,10,109,5,3.9,24799,4.2
R049,11,99,5,4.0,20413,7.1
R049,12,98,6,3.8,24286,4.9
R049,13,104,5,4.1,22645,4.3
R049,14,93,5,3.9,22049,5.6
R049,15,113,5,4.3,25688,3.9
R049,16,107,6,4.0,27585,4.4
R049,17,103,4,4.2,24281,4.2
R049,18,106,2,4.2,24693,2.9
R050,4,107,5,3.7,30623,5.4
R050,5,130,3,3.8,32066,4.1
R050,6,120,5,3.9,34258,5.6
R050,7,124,8,4.1,32545,4.6
R050,8,142,8,3.6,41741,4.9
R050,9,115,3,3.9,30456,6.4
R050,10,138,6,4.0,39615,5.1
R050,11,118,5,4.0,32581,4.7
R050,12,92,3,4.0,19196,6.1
R050,13,139,7,4.0,38806,4.9
R050,14,108,6,4.2,25176,3.7
R050,15,124,5,3.9,36851,3.0
R050,16,145,7,4.0,40827,5.7
R050,17,126,7,4.0,31304,3.4
R050,18,110,5,3.8,26879,6.6
R051,5,144,16,4.2,21035,7.3
R051,6,139,12,4.5,21390,7.2
R051,7,105,9,4.2,16563,7.1
R051,8,142,18,4.4,20014,19.1
R051,9,133,23,4.3,21885,21.2
R051,10,134,18,4.1,20260,20.8
R051,11,61,7,3.7,10828,13.0
R051,12,42,9,3.4,6797,13.1
R051,13,33,4,4.0,4385,14.1
R051,14,22,4,3.6,2547,12.1
R051,15,3,0,3.5,421,12.4
R051,16,10,1,3.4,1377,12.5
R051,17,4,0,3.1,507,10.7
R051,18,3,0,2.9,446,10.9
R052,4,152,13,4.4,19020,6.0
R052,5,168,16,4.4,22413,3.5
R052,6,191,15,4.1,25204,4.1
R052,7,195,15,3.7,28467,5.3
R052,8,169,16,3.9,22695,5.6
R052,9,176,10,4.0,23046,5.7
R052,10,177,13,3.8,23622,5.8
R052,11,161,12,3.8,19389,4.8
R052,12,178,18,3.9,24193,3.8
R052,13,185,15,4.3,28081,5.2
R052,14,166,13,4.0,24838,5.6
R052,15,169,9,4.2,24429,4.6
R052,16,184,14,4.2,20284,4.5
R052,17,202,17,4.3,24222,5.9
R052,18,192,10,3.9,25948,3.4
R053,4,140,42,3.1,44852,12.3
R053,5,143,32,3.3,37631,12.1
R053,6,163,39,3.1,54685,12.2
R053,7,154,40,2.8,53854,14.0
R053,8,162,15,3.3,48308,11.1
R053,9,145,37,3.3,45612,11.1
R053,10,135,30,2.9,36435,11.9
R053,11,164,39,3.1,45239,12.1
R053,12,160,57,3.3,50748,11.6
R053,13,138,40,3.1,42465,12.1
R053,14,135,35,2.8,44545,14.2
R053,15,136,38,3.4,47986,11.9
R053,16,118,32,3.2,35634,12.0
R053,17,146,41,3.3,44674,12.4
R053,18,139,40,3.1,43796,10.6
R054,16,109,3,3.9,43631,2.7
R054,17,98,2,4.1,41876,4.8
R054,18,109,2,4.2,46033,4.6
R055,10,264,3,3.8,88005,4.8
R055,11,240,2,4.0,79758,2.7
R055,12,204,2,3.6,63274,1.2
R055,13,241,1,3.9,83728,1.4
R055,14,189,1,3.9,58762,1.3
R055,15,280,2,4.5,85238,2.2
R055,16,220,1,3.9,73886,0.7
R055,17,242,1,4.0,83175,0.9
R055,18,249,2,4.3,72137,4.5
R056,4,122,7,3.5,57515,3.4
R056,5,158,10,3.8,59120,2.5
R056,6,163,11,3.9,77243,1.6
R056,7,159,12,3.8,48461,2.4
R056,8,166,11,3.9,60877,3.8
R056,9,145,9,3.8,52946,5.0
R056,10,133,8,3.6,62611,4.1
R056,11,150,9,4.1,54023,2.0
R056,12,165,11,3.9,70051,5.2
R056,13,133,6,3.9,47057,2.3
R056,14,191,8,3.7,75528,4.8
R056,15,130,8,3.6,54959,2.8
R056,16,186,9,3.4,68154,3.4
R056,17,178,8,3.6,77610,2.4
R056,18,158,9,3.8,58139,2.8
R057,5,320,10,4.6,83754,1.0
R057,6,361,11,4.4,79970,1.8
R057,7,263,12,4.5,55621,1.2
R057,8,314,13,4.5,76165,5.9
R057,9,283,18,4.2,79384,4.3
R057,10,385,19,3.7,98964,7.3
R057,11,260,16,3.9,63379,2.3
R057,12,83,8,3.8,24574,0.0
R057,13,70,7,3.8,14314,2.9
R057,14,32,3,3.6,8373,3.7
R057,15,29,3,3.3,7122,4.8
R057,16,18,1,3.5,4044,3.6
R057,17,8,0,3.2,1955,3.4
R057,18,5,0,3.0,1420,5.9
R058,5,199,12,4.4,56799,2.3
R058,6,172,7,3.9,51533,2.6
R058,7,193,10,3.8,42611,1.5
R058,8,168,8,3.9,47930,2.1
R058,9,180,8,4.3,43301,4.6
R058,10,165,6,4.0,58233,3.4
R058,11,186,10,3.9,51196,2.6
R058,12,207,9,3.9,48750,2.7
R058,13,181,6,4.1,49372,3.5
R058,14,197,9,3.8,48150,4.2
R058,15,178,11,4.1,51023,3.4
R058,16,154,7,3.8,39880,3.2
R058,17,157,8,3.7,46634,2.0
R058,18,157,5,3.9,33866,2.1
R059,11,86,1,3.8,24033,2.8
R059,12,93,2,4.1,27715,2.6
R059,13,77,2,3.7,23079,2.6
R059,14,75,1,4.0,20406,2.3
R059,15,72,1,3.9,18668,2.8
R059,16,93,1,3.8,23599,2.8
R059,17,82,2,4.1,24580,2.4
R059,18,94,2,4.0,29017,3.2
R060,5,145,2,4.5,24702,4.3
R060,6,195,3,4.2,42197,3.7
R060,7,221,5,4.6,45582,5.7
R060,8,199,2,4.3,42146,4.3
R060,9,166,2,4.2,34415,4.2
R060,10,190,2,4.6,33383,4.8
R060,11,201,3,4.2,38992,3.6
R060,12,179,2,4.6,30658,3.0
R060,13,173,2,4.3,36675,3.6
